Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
Metal ,Thermtest,calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3861,3180,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,calcium fluoride (CaF2) (single xtal),9.623,2.59,1167,5976,3180,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,calcium oxide (CaO) (packed pwd 50 d),0.318,0.25,753,638,1700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,calcium oxide (CaO) (pressed 91 dens),13.807,6.05,753,5613,3030,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,calcium titanate (cao.tio2),4.602,1.54,728,3706,4100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,californium,12.552,8.34,126,4348,12000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Soil ,Thermtest,carbon amorphous (carbon stock),6.276,5.88,707,2589,1510,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Soil ,Thermtest,carbon diamond gem quality type 1,543.92,306,506,31090,3510,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Soil ,Thermtest,carbon graphite (typical k),167.36,105,707,16318,2250,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Soil ,Thermtest,carbon monoxide,0.023,17.9,1046,6,1.25,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Soil ,Thermtest,carbon tetrachloride,0.11,0.0824,840,383.2,1590,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,castor oil,0.181,0.1,1800,558,956,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose acetate (high k),0.335,0.18,1464,798,1300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose acetate (low k),0.167,0.09,1464,564,1300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose acetate butyrate (high k),0.335,0.19,1464,767,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose acetate butyrate (low k),0.167,0.1,1464,542,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose nitrate (pyroxylin),0.23,0.11,1464,682,1380,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose proprionate (high k),0.335,0.19,1464,767,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose proprionate (low k),0.167,0.1,1464,542,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Fiber ,Thermtest,cellulose triacetate,0.251,0.13,1464,691,1300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,cerium,10.878,8.32,193,3771,6790,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,cerium boride (CeB6) (99.0 pc dense),33.89,11.5,628,9998,4700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,cerium oxide (CeO2),11.715,5.46,352,5012,6100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,cerium sulfide (Ce2S3),0.586,0.33,343,1022,5200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,cerium sulfide (ces),8.368,4.82,293,3812,5930,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
